Date,Numbers
01-May-21,10421346
05-May-21,6827295
08-May-21,13827963
12-May-21,13954433
15-May-21,3586976
19-May-21,11550021
22-May-21,8308153
26-May-21,8138351
29-May-21,11024171
02-Jun-21,1316952
05-Jun-21,11740174
09-Jun-21,293183
12-Jun-21,11086242
16-Jun-21,12807458
19-Jun-21,11719675
23-Jun-21,9917270
26-Jun-21,12611628
30-Jun-21,9508774
03-Jul-21,4904890
07-Jul-21,10963528
10-Jul-21,4719855
14-Jul-21,2557958
17-Jul-21,13628257
21-Jul-21,1974359
24-Jul-21,510236
28-Jul-21,401603
31-Jul-21,8725886
04-Aug-21,3793291
07-Aug-21,10294707
11-Aug-21,11370052
14-Aug-21,3846938
18-Aug-21,7981535
21-Aug-21,2538525
25-Aug-21,1473354
28-Aug-21,7038346
02-Sep-21,3337941
04-Sep-21,7474655
08-Sep-21,2307645
11-Sep-21,12465268
15-Sep-21,8177505
18-Sep-21,10106612
22-Sep-21,6571694
25-Sep-21,3784980
29-Sep-21,3530510
02-Oct-21,9250527
06-Oct-21,8540525
09-Oct-21,1181196
13-Oct-21,2285412
16-Oct-21,6274620
20-Oct-21,7227625
23-Oct-21,250050
27-Oct-21,3906304
30-Oct-21,3416435
03-Nov-21,10018930
06-Nov-21,12117185
10-Nov-21,2359701
13-Nov-21,5845453
17-Nov-21,3360921
20-Nov-21,12586386
24-Nov-21,10184040
27-Nov-21,6981635
01-Dec-21,12151425
04-Dec-21,6374961
08-Dec-21,13701905
11-Dec-21,739293
15-Dec-21,983664
18-Dec-21,2618248
22-Dec-21,6177
25-Dec-21,5438832
29-Dec-21,13241295
01-Jan-22,7936845
05-Jan-22,2057743
08-Jan-22,7701681
12-Jan-22,9378997
15-Jan-22,6347924
19-Jan-22,4153426
22-Jan-22,8293931
26-Jan-22,6832300
29-Jan-22,10384670
02-Feb-22,3672069
05-Feb-22,2515295
09-Feb-22,11305516
12-Feb-22,1660683
16-Feb-22,2492112
19-Feb-22,5596793
23-Feb-22,5256072
26-Feb-22,7066149
02-Mar-22,10786951
05-Mar-22,6183761
09-Mar-22,12830186
12-Mar-22,3841480
16-Mar-22,233141
19-Mar-22,4978924
23-Mar-22,8916638
26-Mar-22,6399363
30-Mar-22,3716577
02-Apr-22,6441325
06-Apr-22,2399954
09-Apr-22,11637259
13-Apr-22,10115476
16-Apr-22,8351730
20-Apr-22,7247350
23-Apr-22,12927673
27-Apr-22,7848060
30-Apr-22,9585266
04-May-22,5722606
07-May-22,8280289
11-May-22,6282428
14-May-22,2899491
18-May-22,12265924
21-May-22,4743237
25-May-22,12064406
28-May-22,7462847
01-Jun-22,1389057
04-Jun-22,12304793
08-Jun-22,7804093
11-Jun-22,12062685
15-Jun-22,3431281
18-Jun-22,4848826
22-Jun-22,8083725
25-Jun-22,9805508
29-Jun-22,6993836
02-Jul-22,377975
06-Jul-22,13843054
09-Jul-22,9030387
13-Jul-22,11835332
16-Jul-22,9329446
20-Jul-22,1395802
23-Jul-22,7807109
27-Jul-22,7739970
30-Jul-22,10027973
03-Aug-22,10428723
06-Aug-22,10529885
10-Aug-22,8828526
13-Aug-22,6116022
17-Aug-22,6976661
20-Aug-22,551305
24-Aug-22,9847069
27-Aug-22,9678134
31-Aug-22,9964240
03-Sep-22,6112831
07-Sep-22,10722673
10-Sep-22,10916306
14-Sep-22,7933012
17-Sep-22,3909217
21-Sep-22,1676605
24-Sep-22,10323462
28-Sep-22,8086013
01-Oct-22,5673186
05-Oct-22,3567860
08-Oct-22,605383
12-Oct-22,8900696
15-Oct-22,8013313
19-Oct-22,5556233
22-Oct-22,3031895
26-Oct-22,10427773
29-Oct-22,9742703
02-Nov-22,13347121
05-Nov-22,3124344
09-Nov-22,13536937
12-Nov-22,1580129
16-Nov-22,4806426
19-Nov-22,11400482
23-Nov-22,4261094
26-Nov-22,13211259
30-Nov-22,5291589
03-Dec-22,5659669
07-Dec-22,13621629
10-Dec-22,10372371
14-Dec-22,10045538
17-Dec-22,11026676
21-Dec-22,13941372
24-Dec-22,10195532
28-Dec-22,2624283
31-Dec-22,2039280
04-Jan-23,5613816
07-Jan-23,5904343
11-Jan-23,11815974
14-Jan-23,1055390
18-Jan-23,7498898
21-Jan-23,8977748
25-Jan-23,6440716
28-Jan-23,6534463
01-Feb-23,9389332
04-Feb-23,10840459
08-Feb-23,7421703
15-Feb-23,5615222
18-Feb-23,3409657
22-Feb-23,4459580
25-Feb-23,3165735
01-Mar-23,3778684
04-Mar-23,3928587
08-Mar-23,7218189
11-Mar-23,7488635
15-Mar-23,5170127
18-Mar-23,4880725
22-Mar-23,2295696
25-Mar-23,10722505
29-Mar-23,9498499
01-Apr-23,6407050
05-Apr-23,10496382
08-Apr-23,9067820
12-Apr-23,9539526
15-Apr-23,1589226
19-Apr-23,685821
22-Apr-23,5068715
26-Apr-23,6254944
29-Apr-23,7378244
03-May-23,8438840
06-May-23,4458499
10-May-23,13905417
13-May-23,11702777
17-May-23,12827674
20-May-23,4859639
24-May-23,3765805
27-May-23,11095346
31-May-23,10047549
03-Jun-23,13676948
07-Jun-23,1404202
10-Jun-23,12285062
14-Jun-23,11468993
17-Jun-23,12867628
21-Jun-23,4687164
24-Jun-23,6022827
28-Jun-23,9069409
01-Jul-23,10618266
05-Jul-23,3305031
08-Jul-23,10203322
12-Jul-23,9955162
15-Jul-23,13020661
19-Jul-23,12591679
22-Jul-23,3662943
26-Jul-23,10553908
29-Jul-23,2289677
02-Aug-23,4894568
05-Aug-23,540171
09-Aug-23,13075035
12-Aug-23,2040377
16-Aug-23,1740081
19-Aug-23,13610950
23-Aug-23,4183319
26-Aug-23,7234723
30-Aug-23,4359853
02-Sep-23,11277507
06-Sep-23,4037962
09-Sep-23,9260504
13-Sep-23,8879399
16-Sep-23,6213179
20-Sep-23,10357389
23-Sep-23,6735318
27-Sep-23,9932409
30-Sep-23,13946723
04-Oct-23,13094425
07-Oct-23,4852314
11-Oct-23,9925108
14-Oct-23,12421838
18-Oct-23,3302125
21-Oct-23,1236052
25-Oct-23,446508
28-Oct-23,5143735
01-Nov-23,8298589
04-Nov-23,1085116
08-Nov-23,13833197
11-Nov-23,4403189
15-Nov-23,12741787
18-Nov-23,7796704
22-Nov-23,8237849
25-Nov-23,6234099
29-Nov-23,10800344
02-Dec-23,152798
06-Dec-23,1206957
09-Dec-23,4696862
13-Dec-23,8476378
16-Dec-23,7926053
20-Dec-23,10221335
23-Dec-23,8112413
27-Dec-23,4094492
30-Dec-23,8551685
03-Jan-24,2794277
06-Jan-24,13103044
10-Jan-24,4435543
13-Jan-24,13783201
17-Jan-24,8835630
20-Jan-24,682115
24-Jan-24,938018
27-Jan-24,8923668
31-Jan-24,8822184
03-Feb-24,6301053
07-Feb-24,8574407
10-Feb-24,575069
14-Feb-24,8459200
17-Feb-24,4403774
21-Feb-24,13959061
24-Feb-24,2873879
28-Feb-24,8683497
02-Mar-24,5452356
06-Mar-24,13504208
09-Mar-24,7581238
13-Mar-24,5042261
16-Mar-24,11630100
20-Mar-24,9343088
23-Mar-24,2911096
27-Mar-24,12272451
30-Mar-24,8290316
03-Apr-24,2669141
06-Apr-24,12687563
10-Apr-24,10748620
13-Apr-24,10999711
17-Apr-24,4880242
20-Apr-24,9803906
24-Apr-24,10449419
27-Apr-24,3621078
01-May-24,4421260
04-May-24,2986833
08-May-24,4912944
11-May-24,2629659
15-May-24,11817361
18-May-24,13890658
22-May-24,4442667
25-May-24,12259044
29-May-24,5797048
01-Jun-24,12990471
05-Jun-24,4861824
08-Jun-24,3644160
12-Jun-24,7901405
15-Jun-24,5328395
19-Jun-24,9022774
22-Jun-24,13437644
26-Jun-24,2310428
29-Jun-24,7032157
03-Jul-24,1760406
06-Jul-24,5854964
10-Jul-24,6439818
13-Jul-24,8204344
17-Jul-24,6746572
20-Jul-24,10834075
24-Jul-24,748018
27-Jul-24,6849481
31-Jul-24,11459902
03-Aug-24,4082858
07-Aug-24,3613080
10-Aug-24,9827290
14-Aug-24,10213358
17-Aug-24,7887834
21-Aug-24,4810590
24-Aug-24,12772422
28-Aug-24,5715034
28-Aug-24,5715034
31-Aug-24,8673799
04-Sep-24,13961847
07-Sep-24,9386805
11-Sep-24,934938
14-Sep-24,10868800
18-Sep-24,2811980
21-Sep-24,6268977
25-Sep-24,1914174
28-Sep-24,8443653
02-Oct-24,13860623
05-Oct-24,12882672
09-Oct-24,13412825
12-Oct-24,4357805
16-Oct-24,1501698
19-Oct-24,2783777
23-Oct-24,5525306
26-Oct-24,8471035
30-Oct-24,5123252
02-Nov-24,8360503
06-Nov-24,2709211
09-Nov-24,9668498
13-Nov-24,6609313
16-Nov-24,8391811
20-Nov-24,11259262
